1	7.2747611233183903E+001	1.8000000000000000E+001	0.0000000000000000E+000	0.0000000000000000E+000	4.5223215240089587E+000	4.5298587371775376E+000	7.4354515702347745E-001	4.2060715444694763E+000	7.5351880067576698E+000	6.9163873544599452E-001	2.6595889578042681E-001	7.2008732007798260E-001 
5	4.4413144133971116E+002	1.7999995548930571E+001	-4.4510694294785935E-006	-1.1161751377711767E-008	4.5053294562087487E+000	4.4900647613731612E+000	7.5763230472170962E-001	4.1778971416799493E+000	7.5284751222277722E+000	6.7589867248523872E-001	2.6596399533308102E-001	7.2008732007798260E-001 
10	1.1594095689317296E+003	1.7999987475388238E+001	-1.2524611761932647E-005	-1.1386586843642329E-008	4.5062545267658720E+000	4.4936711798809217E+000	7.5758537286134287E-001	4.1779908106064303E+000	7.5292960542815983E+000	6.7873798898814586E-001	2.6597396608994617E-001	7.2008732007798260E-001 
15	2.3113721461999517E+003	1.7999973924989522E+001	-2.6075010477910610E-005	-1.2050020196740134E-008	4.5098084927614135E+000	4.5021600163769024E+000	7.5472185911825063E-001	4.1837175111554092E+000	7.5344245245677008E+000	6.9626802012532030E-001	2.6599414476646444E-001	7.2008732007798182E-001 
20	4.1666193965161974E+003	1.7999950072549534E+001	-4.9927450465503398E-005	-1.3382060265632179E-008	4.5163211074737371E+000	4.5155555876089819E+000	7.4839441530964224E-001	4.1963718232723517E+000	7.5440243198507444E+000	7.2765322799401455E-001	2.6604355983756189E-001	7.2008732007797971E-001 
25	7.1545136456230148E+003	1.7999907693335828E+001	-9.2306664171815100E-005	-1.4479359625775154E-008	4.5215493739325616E+000	4.5197070142142035E+000	7.4001359569460468E-001	4.2131324399951282E+000	7.5524118581639526E+000	7.5183437520162000E-001	2.6614979426309077E-001	7.2008732007797172E-001 
30	1.1966547212752037E+004	1.7999839502802619E+001	-1.6049719738120416E-004	-1.3802267906172269E-008	4.5220336775676317E+000	4.5058445877045772E+000	7.3211377516965181E-001	4.2289304357683530E+000	7.5550524491832682E+000	7.5650216114142288E-001	2.6633218262572839E-001	7.2008732007794740E-001 
35	1.9716375392949005E+004	1.7999737778562842E+001	-2.6222143715770585E-004	-1.2850287106119130E-008	4.5209340973511827E+000	4.4959713222825037E+000	7.2937630289151356E-001	4.2344029259471423E+000	7.5547453181607471E+000	7.5423261989008028E-001	2.6663462771120072E-001	7.2008732007786569E-001 
40	3.2197551175438024E+004	1.7999579059535677E+001	-4.2094046432339383E-004	-1.2688690251587055E-008	4.5205746353437704E+000	4.4952171802408207E+000	7.2971815588549505E-001	4.2337153903977471E+000	7.5542755002386368E+000	7.5259597661216071E-001	2.6712477091863224E-001	7.2008732007756937E-001 
45	5.2298609584894431E+004	1.7999324228366291E+001	-6.7577163370913240E-004	-1.2671923808134831E-008	4.5202216269721180E+000	4.4956107090464350E+000	7.3062093703160702E-001	4.2319036794865061E+000	7.5536666743399223E+000	7.5052539960110098E-001	2.6790590418050980E-001	7.2008732007642995E-001 
50	8.4671565163908061E+004	1.7998914292059890E+001	-1.0857079401098702E-003	-1.2658196371582708E-008	4.5196911449590296E+000	4.4962705224747435E+000	7.3201180777193775E-001	4.2291120467954340E+000	7.5528060114465445E+000	7.4756008998994272E-001	2.6914481418528680E-001	7.2008732007184240E-001 
55	1.3680853385346531E+005	1.7998254554492185E+001	-1.7454455078151909E-003	-1.2653091325987418E-008	4.5189464461412152E+000	4.4973858004326575E+000	7.3405884438652347E-001	4.2250020545151603E+000	7.5516508916061147E+000	7.4349083624116818E-001	2.7110346653852757E-001	7.2008732005277021E-001 
60	2.2077564329768426E+005	1.7997191232921292E+001	-2.8087670787080299E-003	-1.2674005959736210E-008	4.5179600922558167E+000	4.4992739335826357E+000	7.3697561873231143E-001	4.2191428473170287E+000	7.5502122420467526E+000	7.3821980633858897E-001	2.7418386737659922E-001	7.2008731997151043E-001 
65	3.5600551272869337E+005	1.7995471426045121E+001	-4.5285739548788229E-003	-1.2751780793743679E-008	4.5167208134979662E+000	4.5024574345561534E+000	7.4104592673477054E-001	4.2109607282622301E+000	7.5485910879935769E+000	7.3184114305049341E-001	2.7900661353423817E-001	7.2008731961610906E-001 
70	5.7379456974602793E+005	1.7992669591269870E+001	-7.3304087301302445E-003	-1.2947902607968264E-008	4.5152512467316717E+000	4.5078112804810262E+000	7.4666198322979682E-001	4.1996609918078835E+000	7.5469979844137089E+000	7.2463854730683774E-001	2.8652957551028396E-001	7.2008731788294977E-001 
75	9.2454602396301541E+005	1.7988041211664854E+001	-1.1958788335146409E-002	-1.3372340601745465E-008	4.5136543439964871E+000	4.5168090415980782E+000	7.5435466925869088E-001	4.1841638887870962E+000	7.5457709937458759E+000	7.1704416787357905E-001	2.9820790856970514E-001	7.2008726992642047E-001 
